time,close,ticker
2007-01-03,141.37,SPY
2007-01-04,141.67,SPY
2007-01-05,140.54,SPY
2007-01-08,141.19,SPY
2007-01-09,141.07,SPY
2007-01-10,141.54,SPY
2007-01-11,142.16,SPY
2007-01-12,143.24,SPY
2007-01-16,142.96,SPY
2007-01-17,143.02,SPY
2007-01-18,142.54,SPY
2007-01-19,142.82,SPY
2007-01-22,142.38,SPY
2007-01-23,142.8,SPY
2007-01-24,143.95,SPY
2007-01-25,142.26,SPY
2007-01-26,142.16,SPY
2007-01-29,142.05,SPY
2007-01-30,142.79,SPY
2007-01-31,143.75,SPY
2007-02-01,144.61,SPY
2007-02-02,144.81,SPY
2007-02-05,144.85,SPY
2007-02-06,144.89,SPY
2007-02-07,145.21,SPY
2007-02-08,145.02,SPY
2007-02-09,143.94,SPY
2007-02-12,143.45,SPY
2007-02-13,144.66,SPY
2007-02-14,145.61,SPY
2007-02-15,145.8,SPY
2007-02-16,145.73,SPY
2007-02-20,146.04,SPY
2007-02-21,145.98,SPY
2007-02-22,145.87,SPY
2007-02-23,145.3,SPY
2007-02-26,145.17,SPY
2007-02-27,139.5,SPY
2007-02-28,140.93,SPY
2007-03-01,140.51,SPY
2007-03-02,138.67,SPY
2007-03-05,137.35,SPY
2007-03-06,139.7,SPY
2007-03-07,139.56,SPY
2007-03-08,140.74,SPY
2007-03-09,140.78,SPY
2007-03-12,140.99,SPY
2007-03-13,138.25,SPY
2007-03-14,139.28,SPY
2007-03-15,139.47,SPY
2007-03-16,138.53,SPY
2007-03-19,140.2,SPY
2007-03-20,140.97,SPY
2007-03-21,143.29,SPY
2007-03-22,143.18,SPY
2007-03-23,143.39,SPY
2007-03-26,143.2,SPY
2007-03-27,142.86,SPY
2007-03-28,141.82,SPY
2007-03-29,141.97,SPY
2007-03-30,142.0,SPY
2007-04-02,142.16,SPY
2007-04-03,143.69,SPY
2007-04-04,143.85,SPY
2007-04-05,144.24,SPY
2007-04-06,144.34,SPY
2007-04-09,144.44,SPY
2007-04-10,144.61,SPY
2007-04-11,144.02,SPY
2007-04-12,144.66,SPY
2007-04-13,145.32,SPY
2007-04-16,146.7,SPY
2007-04-17,147.09,SPY
2007-04-18,147.27,SPY
2007-04-19,147.23,SPY
2007-04-20,148.62,SPY
2007-04-23,148.06,SPY
2007-04-24,148.12,SPY
2007-04-25,149.48,SPY
2007-04-26,149.65,SPY
2007-04-27,149.53,SPY
2007-04-30,148.29,SPY
2007-05-01,148.67,SPY
2007-05-02,149.54,SPY
2007-05-03,150.35,SPY
2007-05-04,150.92,SPY
2007-05-07,150.95,SPY
2007-05-08,150.75,SPY
2007-05-09,151.16,SPY
2007-05-10,149.58,SPY
2007-05-11,150.86,SPY
2007-05-14,150.53,SPY
2007-05-15,150.57,SPY
2007-05-16,151.6,SPY
2007-05-17,151.3,SPY
2007-05-18,152.62,SPY
2007-05-21,152.54,SPY
2007-05-22,152.42,SPY
2007-05-23,152.44,SPY
2007-05-24,151.06,SPY
2007-05-25,151.69,SPY
2007-05-29,152.24,SPY
2007-05-30,153.48,SPY
2007-05-31,153.32,SPY
2007-06-01,154.08,SPY
2007-06-04,154.1,SPY
2007-06-05,153.49,SPY
2007-06-06,151.84,SPY
2007-06-07,149.1,SPY
2007-06-08,151.04,SPY
2007-06-11,151.3,SPY
2007-06-12,149.65,SPY
2007-06-13,151.89,SPY
2007-06-14,152.86,SPY
2007-06-15,153.07,SPY
2007-06-18,152.89,SPY
2007-06-19,153.27,SPY
2007-06-20,151.14,SPY
2007-06-21,151.98,SPY
2007-06-22,150.55,SPY
2007-06-25,149.83,SPY
2007-06-26,148.29,SPY
2007-06-27,150.4,SPY
2007-06-28,150.38,SPY
2007-06-29,150.43,SPY
2007-07-02,151.79,SPY
2007-07-03,152.34,SPY
2007-07-05,152.18,SPY
2007-07-06,152.98,SPY
2007-07-09,153.0,SPY
2007-07-10,150.92,SPY
2007-07-11,151.99,SPY
2007-07-12,154.39,SPY
2007-07-13,154.85,SPY
2007-07-16,154.83,SPY
2007-07-17,154.75,SPY
2007-07-18,154.47,SPY
2007-07-19,155.07,SPY
2007-07-20,153.5,SPY
2007-07-23,153.97,SPY
2007-07-24,151.3,SPY
2007-07-25,151.61,SPY
2007-07-26,148.02,SPY
2007-07-27,145.11,SPY
2007-07-30,147.38,SPY
2007-07-31,145.72,SPY
2007-08-01,146.47,SPY
2007-08-02,147.6,SPY
2007-08-03,143.8,SPY
2007-08-06,146.21,SPY
2007-08-07,147.77,SPY
2007-08-08,149.83,SPY
2007-08-09,145.39,SPY
2007-08-10,144.71,SPY
2007-08-13,145.23,SPY
2007-08-14,143.01,SPY
2007-08-15,141.04,SPY
2007-08-16,142.1,SPY
2007-08-17,144.71,SPY
2007-08-20,144.64,SPY
2007-08-21,144.93,SPY
2007-08-22,146.65,SPY
2007-08-23,146.52,SPY
2007-08-24,148.33,SPY
2007-08-27,146.95,SPY
2007-08-28,143.72,SPY
2007-08-29,146.54,SPY
2007-08-30,146.15,SPY
2007-08-31,147.59,SPY
2007-09-04,149.08,SPY
2007-09-05,147.79,SPY
2007-09-06,148.13,SPY
2007-09-07,146.07,SPY
2007-09-10,145.79,SPY
2007-09-11,147.49,SPY
2007-09-12,147.87,SPY
2007-09-13,148.91,SPY
2007-09-14,148.9,SPY
2007-09-17,148.1,SPY
2007-09-18,152.46,SPY
2007-09-19,153.36,SPY
2007-09-20,152.28,SPY
2007-09-21,151.97,SPY
2007-09-24,151.69,SPY
2007-09-25,151.39,SPY
2007-09-26,152.19,SPY
2007-09-27,153.09,SPY
2007-09-28,152.58,SPY
2007-10-01,154.3,SPY
2007-10-02,154.09,SPY
2007-10-03,153.78,SPY
2007-10-04,154.02,SPY
2007-10-05,155.85,SPY
2007-10-09,156.48,SPY
2007-10-10,156.22,SPY
2007-10-11,155.47,SPY
2007-10-12,156.33,SPY
2007-10-15,155.01,SPY
2007-10-16,153.78,SPY
2007-10-17,154.25,SPY
2007-10-18,153.69,SPY
2007-10-19,149.67,SPY
2007-10-22,150.54,SPY
2007-10-23,151.76,SPY
2007-10-24,151.48,SPY
2007-10-25,151.84,SPY
2007-10-26,153.62,SPY
2007-10-29,154.13,SPY
2007-10-30,153.06,SPY
2007-10-31,154.65,SPY
2007-11-01,151.03,SPY
2007-11-02,151.2,SPY
2007-11-05,150.05,SPY
2007-11-06,152.07,SPY
2007-11-07,147.91,SPY
2007-11-08,147.16,SPY
2007-11-09,145.14,SPY
2007-11-13,148.08,SPY
2007-11-14,147.67,SPY
2007-11-15,145.54,SPY
2007-11-16,145.79,SPY
2007-11-19,143.76,SPY
2007-11-20,144.64,SPY
2007-11-21,141.68,SPY
2007-11-23,144.13,SPY
2007-11-26,140.95,SPY
2007-11-27,142.57,SPY
2007-11-28,147.13,SPY
2007-11-29,147.18,SPY
2007-11-30,148.66,SPY
2007-12-03,147.68,SPY
2007-12-04,146.36,SPY
2007-12-05,148.81,SPY
2007-12-06,150.94,SPY
2007-12-07,150.91,SPY
2007-12-10,152.08,SPY
2007-12-11,147.91,SPY
2007-12-12,149.37,SPY
2007-12-13,149.06,SPY
2007-12-14,147.17,SPY
2007-12-17,145.07,SPY
2007-12-18,145.88,SPY
2007-12-19,145.88,SPY
2007-12-20,146.8,SPY
2007-12-21,148.13,SPY
2007-12-24,149.23,SPY
2007-12-26,149.55,SPY
2007-12-27,147.67,SPY
2007-12-28,147.3,SPY
2007-12-31,146.21,SPY
2008-01-02,144.93,SPY
2008-01-03,144.86,SPY
2008-01-04,141.31,SPY
2008-01-07,141.19,SPY
2008-01-08,138.91,SPY
2008-01-09,140.37,SPY
2008-01-10,141.29,SPY
2008-01-11,140.15,SPY
2008-01-14,141.28,SPY
2008-01-15,138.17,SPY
2008-01-16,136.98,SPY
2008-01-17,133.43,SPY
2008-01-18,132.06,SPY
2008-01-22,130.72,SPY
2008-01-23,133.86,SPY
